resMealType_en,resMealType,resDistinction_en,resDistinction,resOpinion_en,resOpinion
Japanese,일식,One MICHELIN Star,미쉐린 1스타,Tucked away in a back alley of glitzy Cheongdam-dong Muni is helmed by Chef Kim Dong-wook who started working in kitchens to make ends meet. To quench his growing thirst for knowledge in Japanese cuisine Kim left for Japan to hone his skills which would one day lay the foundation for this restaurant. To describe his style of cooking as textbook kaiseki is overkill but his respect for tradition is evident including in the way he utilizes seasonal ingredients and the way he plates his creations. The chef is a certified sake sommelier (Kikisake-shi) so ask for recommendations.,화려한 청담동의 뒷골목에서 무심코 지나치기 십상인 일본 요리 전문점 무니. 현실적인 이유로 주방에서 일을 하기 시작했다는 김동욱 셰프는 처음부터 오로지 일식에만 집중했고 나날이 커져가는 요리에 대한 갈증을 해소하기 위해 일본으로 떠났다. 가이세키의 정석이라고 표현하기에는 한계가 있는 것이 사실이다. 하지만 자신이 부지런히 수집해온 그릇에 제철 요리를 담아 계절감을 뚜렷하게 표현해 내는 등 그의 요리에는 전통적인 요소들이 녹아 있다. 일본 니혼슈 소믈리에(키키사케시) 자격증을 취득한 그에게 요리와 어울릴 만한 사케를 추천받는다면 한층 더 풍성한 다이닝을 경험할 수 있을 것이다.
Japanese,일식,One MICHELIN Star,미쉐린 1스타,From the simple elegant interior to the refined details that highlight the seasonality of the menu chefs Kwon Young-woon and Kim Bo-mi are devoted to providing their customers with an authentic Japanese dining experience. The omakase menu at Mitou changes on a monthly basis as they showcase some of the best local ingredients at the height of their freshness. The restaurants two signature courses are the soup dish owan and the seasonal rice dish gohan. The warm and engaging nature of the chefs meticulously plating up the dishes behind the open counter is part of the restaurants charm.,입구에 들어서는 순간부터 일본의 전통 요리집 분위기가 물씬 풍기는 미토우. 레스토랑의 단아한 인테리어가 권영운 김보미 셰프의 정갈한 일본 요리와 조화를 이룬다. 미토우의 오마카세는 신선한 한국의 제철 식재료를 사용하기 때문에 메뉴가 매달 조금씩 달라진다. 가장 맛있는 식재료를 손님에게 대접하고자 하는 두 셰프의 끊임없는 도전 정신이 그대로 반영된 결과다. 미토우의 대표 요리는 국물 요리 오완과 솥밥이다. 일본에서 요리 공부를 하며 얻게 되었다는 진중한 수련의 자세와 겸손함 그리고 정진의 마음가짐이 미토우의 완성도 높은 요리에 고스란히 담겨 있다.
Contemporary,컨템퍼러리,One MICHELIN Star,미쉐린 1스타,Chef Kim Dae-chun’s cooking continues to diversify and deepen over time. The menu at this restaurant embodies the culinary direction he wishes to pursue largely thanks to his modern Korean preparations. Under the theme of fermentation and aging the essential attributes of Korean gastronomy the chef prepares ingredients with care and expertise. The 7th Door symbolises a gastronomic entrance to the seven tastes of food the first five being the five basic tastes; the sixth the taste of fermentation and aging; and the seventh the culinary sensibility of the chef.,김대천 셰프의 요리는 시간이 흐를수록 더욱 다양해지고 그 깊이를 더해 간다. 7th Door의 요리에서는 셰프가 지향하는 한식의 방향성을 경험할 수 있다. 그는 한식의 특징인 발효와 숙성을 주제로 삼아 자신만의 노하우와 정성을 담아 요리에 쓰일 재료를 준비한다. 이러한 과정을 거쳐 음식이 고객의 테이블에 오르기까지 김대천 셰프의 집중력과 아이디어가 요리에 재치 있게 녹아들고 셰프의 이런 재치와 위트가 식사와 식사 사이에 재미를 더한다. 맛의 5가지 표현과 요리의 주제인 발효와 숙성 그리고 셰프의 감각 이 7가지 테마의 어우러짐은 미식의 즐거움을 기대하게 한다.
Spanish,스패니시,One MICHELIN Star,미쉐린 1스타,At Terreno authentic Spanish cuisine is juxtaposed against the chef’s sense of naturalism. Featuring ingredients grown on his own farm the restaurant’s fare is Spanish with a touch of seasonal Korean sensibilities. The chefs mission is to maintain the fundamentals of Spanish cooking and its traditional flavors while diligently preserving the inherent aromas textures and culinary properties of the seasonal ingredients he grows. These efforts create distinct and delightful dishes that can be relished in the poised dining space adorned with artistic and organic elements.,스페인 요리에 셰프의 자연주의 감성이 더해진 매력적인 요리를 선보이는 떼레노. 셰프가 직접 운영하는 농장의 식재료를 위주로 스페인 요리에 한국의 계절감을 입혔다. 스페인 퀴진의 기본과 전통의 풍미는 지키면서도 직접 키운 제철 재료가 그 본연의 향과 식감 특성을 잃지 않게 하는 데 많은 연구와 노력을 기울인다. 이러한 요소들이 어우러져 맛의 즐거움을 느낄 수 있는 스페인 요리가 만들어진다. 예술과 자연을 주제로 꾸민 떼레노의 공간이 차분한 분위기의 다이닝 환경을 연출한다.
French,프렌치,One MICHELIN Star,미쉐린 1스타,Since 2006 Chef Jang Myoung-sik has welcomed diners with his consistently warm and comforting French cuisine. At this new location Jang continues to serve up his passion for French cooking on a plate. Signature dishes include steamed Wando abalone served with abalone intestine espuma fragrant garlic purée and pickled celery as well as crispy saffron arancini.,2006년부터 정성의 온기가 담긴 프렌치 퀴진을 선보여온 장명식 셰프의 라미띠에. 변함없는 안정감을 보여주는 이 곳은 촉촉하게 쪄낸 완도산 전복에 전복 내장 에스푸마와 향긋한 마늘 퓨레 셀러리 피클을 곁들인 전복 요리 그리고 샤프란 향이 매력적인 리소토에 빵가루를 입혀 바삭하게 튀겨낸 아란치니는 라미띠에의 요리가 가진 특징을 잘 보여주는 시그니처 메뉴다. 오랜 시간이 흘러도 한결같은 셰프의 열정을 라미띠에의 요리에서 경험해 보기를 바란다.
Contemporary,컨템퍼러리,One MICHELIN Star,미쉐린 1스타,Myomi’s second act set in a gorgeous space with a view of Changdeokgung Palace is an experience that diners eagerly await. Chef Kim Jeong-muks use of Korean ingredients and cooking techniques remain unchanged but the chef has added subtle new inflections to his dishes as the venue’s name Myomi (subtle charm) fittingly suggests. To sample these modern touches opt for the restaurants punch—a mixture of fruit syrup radish water kimchi broth as well as fresh fruit like peach and watermelon.,창덕궁이 보이는 아름다운 공간에서 묘미의 2막이 시작 되었다. 주방의 바통을 이어받은 김정묵 셰프를 중심으로 이전과는 사뭇 다른 스타일을 보여준다. 한식 위주의 재료 사용과 요리 기법은 그대로 살리되 묘미라는 이름에 걸맞게 묘한 맛을 더함으로써 음식에 대한 현대적 해석을 시도한다. 이를테면 과일청을 섞은 동치미 국물 베이스에 복숭아와 수박 등을 넣어 화채로 만드는 식이다. 음식과 공간이 주는 힘을 느끼고 싶다면 예약은 필수이다.
Contemporary,컨템퍼러리,One MICHELIN Star,미쉐린 1스타,South African dialect for oak tree Muoki is Chef Park Moo-hyun’s restaurant. The name is a nod to the chef’s cosmopolitan background as well as his straightforward attitude when it comes to cooking. Park has a knack for incorporating new cooking methods into creating a mélange of unpredictable flavors and textures. Tomatoes seven ways five different kinds of carrot-based desserts and his take on Jeju-style hairtail and pumpkin soup are good examples of his creativity and insight. Be sure to book ahead.,남아프리카 공화국 방언으로 참나무를 뜻하는 무오키는 박무현 셰프의 우직한 성격을 그대로 반영한 곳이다. 세계 다양한 지역에서 요리 경험을 쌓은 박 셰프는 본인만의 스타일을 녹여낸 음식을 제공하고자 이곳을 오픈했다. 새로운 조리법으로 뻔하지 않은 맛과 질감의 조화를 표현해내는 것을 즐기는 그의 메뉴엔 재료에 대한 깊은 이해 없인 만들 수 없는 재미있는 요리들이 포함되어 있다. 7가지 방법으로 조리한 토마토 5가지 방식으로 만든 당근 디저트 그리고 제주식 갈치 호박국을 자신만의 방식으로 재해석한 요리 등이 그러한 예다. 그의 요리 세계가 궁금하다면 예약 후 들러볼 것.
French,프렌치,One MICHELIN Star,미쉐린 1스타,In a rapidly changing city like Seoul where constancy can be elusive it is a breath of fresh air when a chef is unfazed by the latest trends and remains true to what he believes in. French restaurant Votre Maison — French for your home — gives diners the kind of faith that certain things do remain constant. For Chef Park Min-jae a veteran in Seouls French culinary scene the time and money customers invest to come and taste his food is valuable. Park believes that this is the most important mindset a chef must have. Come for the classic French food as well as the warm service.,유행에 흔들림 없이 묵묵히 한길만 걸어온 박민재 셰프의 보트르 메종. 모든 것이 빠르게 변하는 시대에 언제 찾아도 한결같은 프렌치 요리를 즐길 수 있을 것 같은 신뢰를 주는 레스토랑이다. 박민재 셰프는 고객의 소중한 시간과 돈을 가볍게 여기지 않는 마음가짐에서 좋은 음식이 만들어진다고 믿는다. 그래서인지 보트르 메종에서는 시작부터 마무리까지 기본에 충실하면서도 차분한 흐름의 코스 요리를 경험할 수 있다. 우아한 다이닝 공간 우직한 셰프의 신념이 담긴 프렌치 요리 여기에 편안한 서비스까지 즐길 수 있는 곳이다.
Korean,한식,One MICHELIN Star,미쉐린 1스타,Towering above Seoul on the 81st floor of the Signiel Seoul Hotel Bicena is trying to stay true to the spirit of traditional Korean fine dining. Bicena continues to respect the most fundamental details of slow Korean cuisine such as Jang (fermented sauces) and kimchi the outcome of time and nature doing their work. The views from the restaurant - officially the tallest traditional restaurant in the world - are unrivaled.,단아한 한식 다이닝을 선보이는 비채나. 이곳의 차별화된 맛은 시간과 정성이 깃든 장과 김치 등 가장 기본적인 것에서부터 시작된다. 현대적 이면서도 전통에 충실하며 고급스러운 메뉴에선 한식에 대한 셰프의 철학을 엿볼 수 있다. 여기에 전 세계에서 가장 높은 층에 위치한 한식 레스토랑에서 바라보는 서울 전경은 또 다른 즐거움이다.
Innovative,이노베이티브,One MICHELIN Star,미쉐린 1스타,Meaning well-groomed in French Soigné lives up to its name with its elegant menu inspired by global cuisine with distinct undertones of Korea’s culinary philosophy. Chef Lee Jun’s creations are both creative and modern but the local ingredients he uses always take on the starring roles in his meticulously curated episodes each with its own unique color and lyrical flow. Try the suggested wine pairings for the full gustatory experience.,Contemporary Cuisine of Seoul이라는 슬로건 아래 이준 셰프와 그의 팀이 선사하는 창의적인 요리를 만날 수 있는 스와니예. 전 세계 음식으로부터 영감을 얻은 요리를 선보이지만 기본 바탕은 한국적인 것이 특징이다. 바 형태의 좌석에 앉아 셰프들의 서빙을 받으며 교감할 수 있는 것도 이곳의 남다른 즐거움이다. 주기적으로 바뀌는 메뉴를 에피소드라고 표현하는데 고유한 주제의 각 에피소드는 마치 기승전결이 있는 한 편의 시를 감상하는 듯하다. 또한 각 에피소드에 맞는 와인 페어링도 세심하게 준비되어 있다.
French,프렌치,One MICHELIN Star,미쉐린 1스타,Perched on the 81st floor of Signiel Seoul Hotel STAY takes dining with a view’ to a whole new level with its sweeping vistas of the metropolis. STAY is celebrated Chef Yannick Alléno’s modern casual French restaurant a youthful and vibrant space accented with yellow and gold. The live Pastry Library is its signature feature that offers a tantalizing assortment of sweets and confections that guests can help themselves to.,옐로와 골드 컬러로 포인트를 준 경쾌하고 모던한 인테리어 전 좌석에서 감상할 수 있는 서울의 화려한 스카이라인. 시그니엘 81층에 위치한 STAY는 프렌치 파인 다이닝의 진수를 보여주는 세계적인 명성의 셰프 야닉 알레노의 모던 프렌치 레스토랑이다. 이곳에선 수준 높은 요리를 편안한 분위기에서 즐길 수 있는데 매주 새로운 요리를 하나씩 소개하며 계절마다 새로운 메뉴를 선보인다. 또한 레스토랑 중앙에 자리한 페이스트리 라이브러리에선 프렌치 요리의 피날레를 장식하는 디저트를 다양하게 즐길 수 있다.
Innovative,이노베이티브,One MICHELIN Star,미쉐린 1스타,After years of traveling researching and cooking Australian native Joseph Lidgerwood settled in Seoul. His fascination with local ingredients serves as the main inspiration behind the inventive offerings. Take for example the dish Freshwater Snails: blended to a purée-like consistency served atop a perilla leaf with cream sauce and custard made of wild mushrooms. Lidgerwood constantly pushes the boundaries of how a given ingredient should be cooked and further elevates the dining experience with traditional liquor pairings.,전 세계를 유랑하며 식재료를 탐구하고 요리와 팝업 경험을 쌓아온 호주 출신 요리사가 선보이는 맛은 어떨까? 한국의 식재료에 매료되어 서울에 정착했다는 조셉 리저우드 셰프에게 흔하고 식상한 재료란 존재하지 않는다. 한국인에게 익숙한 우렁이를 퓌레처럼 부드럽게 갈아 크림소스와 함께 깻잎에 올려 내는 우렁이나 직접 채취한 야생 버섯으로 만든 아이스크림 등 에빗의 메뉴는 리저우드만의 색다른 시각으로 재해석된 창의적인 요리로 가득하다. 식재료의 조리법에 대한 고정관념에서 벗어나고자 노력한다는 그의 요리는 정교하게 구성된 전통주 페어링과 함께할 때 더욱더 빛을 발한다.
French,프렌치,One MICHELIN Star,미쉐린 1스타,In Auprès the transition is made possible by the bold and active chef Ji-won Lee who is always in pursuit of fine ingredients. His research into their properties the simplification of ingredient preparation and recipes based on new culinary strategies creates a harmonious cuisine and reflects the chef’s sophisticated sensibility. In this light the kitchens culinary evolution is a result of strenuous efforts aimed at honing the fundamentals necessary to achieve ultimate gastronomic perfection. As the name Auprès (which means nearby in French) suggests it strives to remain approachable to patrons by preparing dishes that bring comfort to even the most refined palates.,오프레의 요리는 시간이 흐르면서 단정함과 자연스러움이 더해져 전보다 감각적이고 편안한 느낌의 요리로 변모해 왔다. 이러한 변화가 가능했던 것은 좋은 식재료를 발굴하려는 셰프의 과감하고 적극적인 의지 재료의 특성을 이해하기 위한 연구 이러한 노력이 반영된 재료 손질과 조리의 단순화 그리고 셰프의 감각이 발현된 재료와 소스가 함께 조화를 이루었기 때문이다. 이는 요리의 궁극적인 완성도를 위해 기본기를 착실하게 닦아 온 고된 노력의 결과물이다. 곁에라는 뜻의 상호처럼 고객 곁으로 다가가고자 하는 오프레의 요리는 미식가들에게 편안함을 안겨 준다.
Korean,한식,One MICHELIN Star,미쉐린 1스타,The elegant stonewalled-path of Gyeongbokgung Palace and a modern residential neighborhood stand directly across from each other. A road is all that lies between Seouls past and present coexisting side by side. The same contrast is again evident in the modern façade of Onjieum Matgongbang and elements of tradition one discovers inside. Helmed by Cho Eun-hee certified trainee of Korean royal court cuisine and researcher Park Seong-bae the space is both a research institute and restaurant. The food it offers clearly reflects the four distinct seasons and the refined beauty of Korean cuisine.,경복궁 돌담길이 가진 전통미와 온지음 맛공방이 위치한 주택가의 현대미가 길 하나를 사이에 두고 조화롭게 공존한다. 레스토랑 내부에서 확인할 수 있는 한국의 전통 의식주 양식 역시 모던한 외관과 대조를 이루며 과거와 현재가 공존하고 있음을 느끼게 한다. 온지음이 운영하는 식문화 연구소이자 레스토랑이기도 한 이곳에서는 조선 왕조 궁중 음식 이수자 조은희 방장과 박성배 연구원 그리고 이들이 이끄는 젊은 팀원들이 온고지신의 마음으로 한식의 전통을 이어가고 있다. 뚜렷한 사계절을 반영하는 음식에서 한식의 깊은 뿌리를 느낄 수 있고 오랜 연구 끝에 탄생한 아름다운 음식을 통해 감동을 얻을 수 있는 곳이다.
Chinese,중식,One MICHELIN Star,미쉐린 1스타,Inspired by the glitz and glamour of 1920s Shanghai interior designer André Fu’s dining room is drop-dead gorgeous with its alluring jade-colored walls marbled floors lavish furniture and refined tableware. The menu features mostly Cantonese dishes but also offers recipes from other Chinese regions. Highlights include Peking Duck crispy pork belly and Cantonese-style steamed sea bream. Their weekend dim sum brunch is extremely popular.,모던 중국 패션의 절정을 찍었던 1920년대 상하이. 그 화려함을 모티브 삼아 디자인한 중식 전문점 유 유안은 비취색과 금색 대리석의 은은하고 고급스러운 조화가 매력적인 곳이다. 입구를 지나면서 눈에 들어오는 오리 숙성고는 유 유안이 추구하는 요리의 콘셉트를 잘 보여준다. 광둥식 요리를 앞세우고 있지만 중국 내 다른 지역의 특색 있는 음식도 함께 선보인다. 이곳의 인기 메뉴는 베이징 덕으로 반 마리도 주문 가능하다. 주말 브런치도 인기를 끌고 있는데 유 유안의 수준 높은 딤섬 요리를 맛볼 수 있다.
Contemporary,컨템퍼러리,One MICHELIN Star,미쉐린 1스타,Chef Jang Kyung-won at Exquisine has a knack for reinventing flavors. His creativity is driven by his knowledge of local ingredients and understanding of the balance between each component which leads to dishes that are ultimately his own invention. The restaurant offers a single course menu for lunch and dinner that changes frequently depending on the availability of ingredients. The fresh herbs are from the restaurants garden. The space is small so make sure you call ahead to reserve a table.,장경원 셰프의 익스퀴진. 최대한 한국적인 재료를 사용하고 재료 각각의 개성에 초점을 맞춰 새로운 맛을 창조하고자 하는 셰프의 실험 정신이 그의 요리에 그대로 묻어난다. 레스토랑 내에서 직접 재배한 허브와 산지 직거래로 공급받는 싱싱한 재료로 만든 음식을 합리적인 가격에 제공한다. 점심 코스 메뉴와 저녁 코스 메뉴가 한 가지씩 준비되어 있고 식재료나 주방 사정에 따라 메뉴가 수시로 변경된다. 공간이 아담한 만큼 예약은 필수다.
Innovative,이노베이티브,One MICHELIN Star,미쉐린 1스타,Increasingly assertive and self-assured the evolution of Zero Complex is founded on Chef Lee Chung-hu’s philosophy that balance and harmony hold the key to great food. The outcome of his approach to cooking is authentic and creative dishes served in a near-sterile space that provides the blank canvas for Chef Lee’s inventions. Lee grows many of his own herbs and vegetables in the greenhouse in front of the restaurant building. The French sommelier’s natural wine pairings round out the flavors and textures bringing the meal full circle.,시간이 지날수록 제로 컴플렉스의 요리는 뚜렷한 색깔을 뽐낸다. 맛의 조화와 균형을 가장 중요시하는 이충후 셰프의 접근법은 개성 있고 창의적인 요리로 이어진다. 백지처럼 깨끗한 레스토랑의 인테리어도 이곳 음식의 한몫을 담당한다. 레스토랑 건물 앞에 온실을 만들어 각종 허브와 채소를 재배하는 정성과 재료 본연의 맛을 최대한 살리기 위해 활용하는 조리법에서 그의 고집스러운 요리 세계를 엿볼 수 있다. 내추럴 와인에 집중하는 소믈리에의 페어링 또한 이곳의 음식과 결을 함께한다.
